id,name,type,category,pp,power,accuracy,gen
1,Pound,NORMAL,Physical,35,40,100%,I
2,Karate Chop,FIGHTING,Physical,25,50,100%,I
3,Double Slap,NORMAL,Physical,10,15,85%,I
4,Comet Punch,NORMAL,Physical,15,18,85%,I
5,Mega Punch,NORMAL,Physical,20,80,85%,I
6,Pay Day,NORMAL,Physical,20,40,100%,I
7,Fire Punch,FIRE,Physical,15,75,100%,I
8,Ice Punch,ICE,Physical,15,75,100%,I
9,Thunder Punch,ELECTRIC,Physical,15,75,100%,I
10,Scratch,NORMAL,Physical,35,40,100%,I
11,Vise Grip,NORMAL,Physical,30,55,100%,I
12,Guillotine,NORMAL,Physical,5,∞,30%,I
13,Razor Wind,NORMAL,Special,10,80,100%,I
14,Swords Dance,NORMAL,Status,20,—,—%,I
15,Cut,NORMAL,Physical,30,50,95%,I
16,Gust,FLYING,Special,35,40,100%,I
17,Wing Attack,FLYING,Physical,35,60,100%,I
18,Whirlwind,NORMAL,Status,20,—,∞%,I
19,Fly,FLYING,Physical,15,90,95%,I
20,Bind,NORMAL,Physical,20,15,85%,I
21,Slam,NORMAL,Physical,20,80,75%,I
22,Vine Whip,GRASS,Physical,25,45,100%,I
23,Stomp,NORMAL,Physical,20,65,100%,I
24,Double Kick,FIGHTING,Physical,30,30,100%,I
25,Mega Kick,NORMAL,Physical,5,120,75%,I
26,Jump Kick,FIGHTING,Physical,10,100,95%,I
27,Rolling Kick,FIGHTING,Physical,15,60,85%,I
28,Sand Attack,GROUND,Status,15,—,100%,I
29,Headbutt,NORMAL,Physical,15,70,100%,I
30,Horn Attack,NORMAL,Physical,25,65,100%,I
31,Fury Attack,NORMAL,Physical,20,15,85%,I
32,Horn Drill,NORMAL,Physical,5,∞,30%,I
33,Tackle,NORMAL,Physical,35,40,100%,I
34,Body Slam,NORMAL,Physical,15,85,100%,I
35,Wrap,NORMAL,Physical,20,15,90%,I
36,Take Down,NORMAL,Physical,20,90,85%,I
37,Thrash,NORMAL,Physical,10,120,100%,I
38,Double-Edge,NORMAL,Physical,15,120,100%,I
39,Tail Whip,NORMAL,Status,30,—,100%,I
40,Poison Sting,POISON,Physical,35,15,100%,I
41,Twineedle,BUG,Physical,20,25,100%,I
42,Pin Missile,BUG,Physical,20,25,95%,I
43,Leer,NORMAL,Status,30,—,100%,I
44,Bite,DARK,Physical,25,60,100%,I
45,Growl,NORMAL,Status,40,—,100%,I
46,Roar,NORMAL,Status,20,—,∞%,I
47,Sing,NORMAL,Status,15,—,55%,I
48,Supersonic,NORMAL,Status,20,—,55%,I
49,Sonic Boom,NORMAL,Special,20,—,90%,I
50,Disable,NORMAL,Status,20,—,100%,I
51,Acid,POISON,Special,30,40,100%,I
52,Ember,FIRE,Special,25,40,100%,I
53,Flamethrower,FIRE,Special,15,90,100%,I
54,Mist,ICE,Status,30,—,—%,I
55,Water Gun,WATER,Special,25,40,100%,I
56,Hydro Pump,WATER,Special,5,110,80%,I
57,Surf,WATER,Special,15,90,100%,I
58,Ice Beam,ICE,Special,10,90,100%,I
59,Blizzard,ICE,Special,5,110,70%,I
60,Psybeam,PSYCHIC,Special,20,65,100%,I
61,Bubble Beam,WATER,Special,20,65,100%,I
62,Aurora Beam,ICE,Special,20,65,100%,I
63,Hyper Beam,NORMAL,Special,5,150,90%,I
64,Peck,FLYING,Physical,35,35,100%,I
65,Drill Peck,FLYING,Physical,20,80,100%,I
66,Submission,FIGHTING,Physical,20,80,80%,I
67,Low Kick,FIGHTING,Physical,20,—,100%,I
68,Counter,FIGHTING,Physical,20,—,100%,I
69,Seismic Toss,FIGHTING,Physical,20,—,100%,I
70,Strength,NORMAL,Physical,15,80,100%,I
71,Absorb,GRASS,Special,25,20,100%,I
72,Mega Drain,GRASS,Special,15,40,100%,I
73,Leech Seed,GRASS,Status,10,—,90%,I
74,Growth,NORMAL,Status,20,—,—%,I
75,Razor Leaf,GRASS,Physical,25,55,95%,I
76,Solar Beam,GRASS,Special,10,120,100%,I
77,Poison Powder,POISON,Status,35,—,75%,I
78,Stun Spore,GRASS,Status,30,—,75%,I
79,Sleep Powder,GRASS,Status,15,—,75%,I
80,Petal Dance,GRASS,Special,10,120,100%,I
81,String Shot,BUG,Status,40,—,95%,I
82,Dragon Rage,DRAGON,Special,10,—,100%,I
83,Fire Spin,FIRE,Special,15,35,85%,I
84,Thunder Shock,ELECTRIC,Special,30,40,100%,I
85,Thunderbolt,ELECTRIC,Special,15,90,100%,I
86,Thunder Wave,ELECTRIC,Status,20,—,90%,I
87,Thunder,ELECTRIC,Special,10,110,70%,I
88,Rock Throw,ROCK,Physical,15,50,90%,I
89,Earthquake,GROUND,Physical,10,100,100%,I
90,Fissure,GROUND,Physical,5,∞,30%,I
91,Dig,GROUND,Physical,10,80,100%,I
92,Toxic,POISON,Status,10,—,90%,I
93,Confusion,PSYCHIC,Special,25,50,100%,I
94,PSYCHIC,Psychic,Special,10,90,100%,I
95,Hypnosis,PSYCHIC,Status,20,—,60%,I
96,Meditate,PSYCHIC,Status,40,—,—%,I
97,Agility,PSYCHIC,Status,30,—,—%,I
98,Quick Attack,NORMAL,Physical,30,40,100%,I
99,Rage,NORMAL,Physical,20,20,100%,I
100,Teleport,PSYCHIC,Status,20,—,—%,I
101,Night Shade,GHOST,Special,15,—,100%,I
102,Mimic,NORMAL,Status,10,—,∞%,I
103,Screech,NORMAL,Status,40,—,85%,I
104,Double Team,NORMAL,Status,15,—,—%,I
105,Recover,NORMAL,Status,5,—,—%,I
106,Harden,NORMAL,Status,30,—,—%,I
107,Minimize,NORMAL,Status,10,—,—%,I
108,Smokescreen,NORMAL,Status,20,—,100%,I
109,Confuse Ray,GHOST,Status,10,—,100%,I
110,Withdraw,WATER,Status,40,—,—%,I
111,Defense Curl,NORMAL,Status,40,—,—%,I
112,Barrier,PSYCHIC,Status,20,—,—%,I
113,Light Screen,PSYCHIC,Status,30,—,—%,I
114,Haze,ICE,Status,30,—,—%,I
115,Reflect,PSYCHIC,Status,20,—,—%,I
116,Focus Energy,NORMAL,Status,30,—,—%,I
117,Bide,NORMAL,Physical,10,—,∞%,I
118,Metronome,NORMAL,Status,10,—,—%,I
119,Mirror Move,FLYING,Status,20,—,—%,I
120,Self-Destruct,NORMAL,Physical,5,200,100%,I
121,Egg Bomb,NORMAL,Physical,10,100,75%,I
122,Lick,GHOST,Physical,30,30,100%,I
123,Smog,POISON,Special,20,30,70%,I
124,Sludge,POISON,Special,20,65,100%,I
125,Bone Club,GROUND,Physical,20,65,85%,I
126,Fire Blast,FIRE,Special,5,110,85%,I
127,Waterfall,WATER,Physical,15,80,100%,I
128,Clamp,WATER,Physical,15,35,85%,I
129,Swift,NORMAL,Special,20,60,∞%,I
130,Skull Bash,NORMAL,Physical,10,130,100%,I
131,Spike Cannon,NORMAL,Physical,15,20,100%,I
132,Constrict,NORMAL,Physical,35,10,100%,I
133,Amnesia,PSYCHIC,Status,20,—,—%,I
134,Kinesis,PSYCHIC,Status,15,—,80%,I
135,Soft-Boiled,NORMAL,Status,5,—,—%,I
136,High Jump Kick,FIGHTING,Physical,10,130,90%,I
137,Glare,NORMAL,Status,30,—,100%,I
138,Dream Eater,PSYCHIC,Special,15,100,100%,I
139,Poison Gas,POISON,Status,40,—,90%,I
140,Barrage,NORMAL,Physical,20,15,85%,I
141,Leech Life,BUG,Physical,10,80,100%,I
142,Lovely Kiss,NORMAL,Status,10,—,75%,I
143,Sky Attack,FLYING,Physical,5,140,90%,I
144,Transform,NORMAL,Status,10,—,∞%,I
145,Bubble,WATER,Special,30,40,100%,I
146,Dizzy Punch,NORMAL,Physical,10,70,100%,I
147,Spore,GRASS,Status,15,—,100%,I
148,Flash,NORMAL,Status,20,—,100%,I
149,Psywave,PSYCHIC,Special,15,—,100%,I
150,Splash,NORMAL,Status,40,—,—%,I
151,Acid Armor,POISON,Status,20,—,—%,I
152,Crabhammer,WATER,Physical,10,100,90%,I
153,Explosion,NORMAL,Physical,5,250,100%,I
154,Fury Swipes,NORMAL,Physical,15,18,80%,I
155,Bonemerang,GROUND,Physical,10,50,90%,I
156,Rest,PSYCHIC,Status,5,—,—%,I
157,Rock Slide,ROCK,Physical,10,75,90%,I
158,Hyper Fang,NORMAL,Physical,15,80,90%,I
159,Sharpen,NORMAL,Status,30,—,—%,I
160,Conversion,NORMAL,Status,30,—,—%,I
161,Tri Attack,NORMAL,Special,10,80,100%,I
162,Super Fang,NORMAL,Physical,10,—,90%,I
163,Slash,NORMAL,Physical,20,70,100%,I
164,Substitute,NORMAL,Status,10,—,—%,I
165,Struggle,NORMAL,Physical,1,50,∞%,I
166,Sketch,NORMAL,Status,1,—,∞%,II
167,Triple Kick,FIGHTING,Physical,10,10,90%,II
168,Thief,DARK,Physical,25,60,100%,II
169,Spider Web,BUG,Status,10,—,∞%,II
170,Mind Reader,NORMAL,Status,5,—,∞%,II
171,Nightmare,GHOST,Status,15,—,100%,II
172,Flame Wheel,FIRE,Physical,25,60,100%,II
173,Snore,NORMAL,Special,15,50,100%,II
174,Curse,GHOST,Status,10,—,—%,II
175,Flail,NORMAL,Physical,15,—,100%,II
176,Conversion 2,NORMAL,Status,30,—,∞%,II
177,Aeroblast,FLYING,Special,5,100,95%,II
178,Cotton Spore,GRASS,Status,40,—,100%,II
179,Reversal,FIGHTING,Physical,15,—,100%,II
180,Spite,GHOST,Status,10,—,100%,II
181,Powder Snow,ICE,Special,25,40,100%,II
182,Protect,NORMAL,Status,10,—,—%,II
183,Mach Punch,FIGHTING,Physical,30,40,100%,II
184,Scary Face,NORMAL,Status,10,—,100%,II
185,Feint Attack,DARK,Physical,20,60,∞%,II
186,Sweet Kiss,FAIRY,Status,10,—,75%,II
187,Belly Drum,NORMAL,Status,10,—,—%,II
188,Sludge Bomb,POISON,Special,10,90,100%,II
189,Mud-Slap,GROUND,Special,10,20,100%,II
190,Octazooka,WATER,Special,10,65,85%,II
191,Spikes,GROUND,Status,20,—,—%,II
192,Zap Cannon,ELECTRIC,Special,5,120,50%,II
193,Foresight,NORMAL,Status,40,—,∞%,II
194,Destiny Bond,GHOST,Status,5,—,—%,II
195,Perish Song,NORMAL,Status,5,—,—%,II
196,Icy Wind,ICE,Special,15,55,95%,II
197,Detect,FIGHTING,Status,5,—,—%,II
198,Bone Rush,GROUND,Physical,10,25,90%,II
199,Lock-On,NORMAL,Status,5,—,∞%,II
200,Outrage,DRAGON,Physical,10,120,100%,II
201,Sandstorm,ROCK,Status,10,—,—%,II
202,Giga Drain,GRASS,Special,10,75,100%,II
203,Endure,NORMAL,Status,10,—,—%,II
204,Charm,FAIRY,Status,20,—,100%,II
205,Rollout,ROCK,Physical,20,30,90%,II
206,False Swipe,NORMAL,Physical,40,40,100%,II
207,Swagger,NORMAL,Status,15,—,85%,II
208,Milk Drink,NORMAL,Status,5,—,—%,II
209,Spark,ELECTRIC,Physical,20,65,100%,II
210,Fury Cutter,BUG,Physical,20,40,95%,II
211,Steel Wing,STEEL,Physical,25,70,90%,II
212,Mean Look,NORMAL,Status,5,—,∞%,II
213,Attract,NORMAL,Status,15,—,100%,II
214,Sleep Talk,NORMAL,Status,10,—,—%,II
215,Heal Bell,NORMAL,Status,5,—,—%,II
216,Return,NORMAL,Physical,20,—,100%,II
217,Present,NORMAL,Physical,15,—,90%,II
218,Frustration,NORMAL,Physical,20,—,100%,II
219,Safeguard,NORMAL,Status,25,—,—%,II
220,Pain Split,NORMAL,Status,20,—,∞%,II
221,Sacred Fire,FIRE,Physical,5,100,95%,II
222,Magnitude,GROUND,Physical,30,—,100%,II
223,Dynamic Punch,FIGHTING,Physical,5,100,50%,II
224,Megahorn,BUG,Physical,10,120,85%,II
225,Dragon Breath,DRAGON,Special,20,60,100%,II
226,Baton Pass,NORMAL,Status,40,—,—%,II
227,Encore,NORMAL,Status,5,—,100%,II
228,Pursuit,DARK,Physical,20,40,100%,II
229,Rapid Spin,NORMAL,Physical,40,50,100%,II
230,Sweet Scent,NORMAL,Status,20,—,100%,II
231,Iron Tail,STEEL,Physical,15,100,75%,II
232,Metal Claw,STEEL,Physical,35,50,95%,II
233,Vital Throw,FIGHTING,Physical,10,70,∞%,II
234,Morning Sun,NORMAL,Status,5,—,—%,II
235,Synthesis,GRASS,Status,5,—,—%,II
236,Moonlight,FAIRY,Status,5,—,—%,II
237,Hidden Power,NORMAL,Special,15,60,100%,II
238,Cross Chop,FIGHTING,Physical,5,100,80%,II
239,Twister,DRAGON,Special,20,40,100%,II
240,Rain Dance,WATER,Status,5,—,—%,II
241,Sunny Day,FIRE,Status,5,—,—%,II
242,Crunch,DARK,Physical,15,80,100%,II
243,Mirror Coat,PSYCHIC,Special,20,—,100%,II
244,Psych Up,NORMAL,Status,10,—,∞%,II
245,Extreme Speed,NORMAL,Physical,5,80,100%,II
246,Ancient Power,ROCK,Special,5,60,100%,II
247,Shadow Ball,GHOST,Special,15,80,100%,II
248,Future Sight,PSYCHIC,Special,10,120,100%,II
249,Rock Smash,FIGHTING,Physical,15,40,100%,II
250,Whirlpool,WATER,Special,15,35,85%,II
251,Beat Up,DARK,Physical,10,—,100%,II
252,Fake Out,NORMAL,Physical,10,40,100%,III
253,Uproar,NORMAL,Special,10,90,100%,III
254,Stockpile,NORMAL,Status,20,—,—%,III
255,Spit Up,NORMAL,Special,10,—,100%,III
256,Swallow,NORMAL,Status,10,—,—%,III
257,Heat Wave,FIRE,Special,10,95,90%,III
258,Hail,ICE,Status,10,—,—%,III
259,Torment,DARK,Status,15,—,100%,III
260,Flatter,DARK,Status,15,—,100%,III
261,Will-O-Wisp,FIRE,Status,15,—,85%,III
262,Memento,DARK,Status,10,—,100%,III
263,Facade,NORMAL,Physical,20,70,100%,III
264,Focus Punch,FIGHTING,Physical,20,150,100%,III
265,Smelling Salts,NORMAL,Physical,10,70,100%,III
266,Follow Me,NORMAL,Status,20,—,—%,III
267,Nature Power,NORMAL,Status,20,—,—%,III
268,Charge,ELECTRIC,Status,20,—,—%,III
269,Taunt,DARK,Status,20,—,100%,III
270,Helping Hand,NORMAL,Status,20,—,—%,III
271,Trick,PSYCHIC,Status,10,—,100%,III
272,Role Play,PSYCHIC,Status,10,—,∞%,III
273,Wish,NORMAL,Status,10,—,—%,III
274,Assist,NORMAL,Status,20,—,—%,III
275,Ingrain,GRASS,Status,20,—,—%,III
276,Superpower,FIGHTING,Physical,5,120,100%,III
277,Magic Coat,PSYCHIC,Status,15,—,—%,III
278,Recycle,NORMAL,Status,10,—,—%,III
279,Revenge,FIGHTING,Physical,10,60,100%,III
280,Brick Break,FIGHTING,Physical,15,75,100%,III
281,Yawn,NORMAL,Status,10,—,∞%,III
282,Knock Off,DARK,Physical,20,65,100%,III
283,Endeavor,NORMAL,Physical,5,—,100%,III
284,Eruption,FIRE,Special,5,150,100%,III
285,Skill Swap,PSYCHIC,Status,10,—,∞%,III
286,Imprison,PSYCHIC,Status,10,—,—%,III
287,Refresh,NORMAL,Status,20,—,—%,III
288,Grudge,GHOST,Status,5,—,—%,III
289,Snatch,DARK,Status,10,—,—%,III
290,Secret Power,NORMAL,Physical,20,70,100%,III
291,Dive,WATER,Physical,10,80,100%,III
292,Arm Thrust,FIGHTING,Physical,20,15,100%,III
293,Camouflage,NORMAL,Status,20,—,—%,III
294,Tail Glow,BUG,Status,20,—,—%,III
295,Luster Purge,PSYCHIC,Special,5,95,100%,III
296,Mist Ball,PSYCHIC,Special,5,95,100%,III
297,Feather Dance,FLYING,Status,15,—,100%,III
298,Teeter Dance,NORMAL,Status,20,—,100%,III
299,Blaze Kick,FIRE,Physical,10,85,90%,III
300,Mud Sport,GROUND,Status,15,—,—%,III
301,Ice Ball,ICE,Physical,20,30,90%,III
302,Needle Arm,GRASS,Physical,15,60,100%,III
303,Slack Off,NORMAL,Status,5,—,—%,III
304,Hyper Voice,NORMAL,Special,10,90,100%,III
305,Poison Fang,POISON,Physical,15,50,100%,III
306,Crush Claw,NORMAL,Physical,10,75,95%,III
307,Blast Burn,FIRE,Special,5,150,90%,III
308,Hydro Cannon,WATER,Special,5,150,90%,III
309,Meteor Mash,STEEL,Physical,10,90,90%,III
310,Astonish,GHOST,Physical,15,30,100%,III
311,Weather Ball,NORMAL,Special,10,50,100%,III
312,Aromatherapy,GRASS,Status,5,—,—%,III
313,Fake Tears,DARK,Status,20,—,100%,III
314,Air Cutter,FLYING,Special,25,60,95%,III
315,Overheat,FIRE,Special,5,130,90%,III
316,Odor Sleuth,NORMAL,Status,40,—,∞%,III
317,Rock Tomb,ROCK,Physical,15,60,95%,III
318,Silver Wind,BUG,Special,5,60,100%,III
319,Metal Sound,STEEL,Status,40,—,85%,III
320,Grass Whistle,GRASS,Status,15,—,55%,III
321,Tickle,NORMAL,Status,20,—,100%,III
322,Cosmic Power,PSYCHIC,Status,20,—,—%,III
323,Water Spout,WATER,Special,5,150,100%,III
324,Signal Beam,BUG,Special,15,75,100%,III
325,Shadow Punch,GHOST,Physical,20,60,∞%,III
326,Extrasensory,PSYCHIC,Special,20,80,100%,III
327,Sky Uppercut,FIGHTING,Physical,15,85,90%,III
328,Sand Tomb,GROUND,Physical,15,35,85%,III
329,Sheer Cold,ICE,Special,5,∞,30%,III
330,Muddy Water,WATER,Special,10,90,85%,III
331,Bullet Seed,GRASS,Physical,30,25,100%,III
332,Aerial Ace,FLYING,Physical,20,60,∞%,III
333,Icicle Spear,ICE,Physical,30,25,100%,III
334,Iron Defense,STEEL,Status,15,—,—%,III
335,Block,NORMAL,Status,5,—,∞%,III
336,Howl,NORMAL,Status,40,—,—%,III
337,Dragon Claw,DRAGON,Physical,15,80,100%,III
338,Frenzy Plant,GRASS,Special,5,150,90%,III
339,Bulk Up,FIGHTING,Status,20,—,—%,III
340,Bounce,FLYING,Physical,5,85,85%,III
341,Mud Shot,GROUND,Special,15,55,95%,III
342,Poison Tail,POISON,Physical,25,50,100%,III
343,Covet,NORMAL,Physical,25,60,100%,III
344,Volt Tackle,ELECTRIC,Physical,15,120,100%,III
345,Magical Leaf,GRASS,Special,20,60,∞%,III
346,Water Sport,WATER,Status,15,—,—%,III
347,Calm Mind,PSYCHIC,Status,20,—,—%,III
348,Leaf Blade,GRASS,Physical,15,90,100%,III
349,Dragon Dance,DRAGON,Status,20,—,—%,III
350,Rock Blast,ROCK,Physical,10,25,90%,III
351,Shock Wave,ELECTRIC,Special,20,60,∞%,III
352,Water Pulse,WATER,Special,20,60,100%,III
353,Doom Desire,STEEL,Special,5,140,100%,III
354,Psycho Boost,PSYCHIC,Special,5,140,90%,III
355,Roost,FLYING,Status,5,—,—%,IV
356,Gravity,PSYCHIC,Status,5,—,—%,IV
357,Miracle Eye,PSYCHIC,Status,40,—,∞%,IV
358,Wake-Up Slap,FIGHTING,Physical,10,70,100%,IV
359,Hammer Arm,FIGHTING,Physical,10,100,90%,IV
360,Gyro Ball,STEEL,Physical,5,—,100%,IV
361,Healing Wish,PSYCHIC,Status,10,—,—%,IV
362,Brine,WATER,Special,10,65,100%,IV
363,Natural Gift,NORMAL,Physical,15,—,100%,IV
364,Feint,NORMAL,Physical,10,30,100%,IV
365,Pluck,FLYING,Physical,20,60,100%,IV
366,Tailwind,FLYING,Status,15,—,—%,IV
367,Acupressure,NORMAL,Status,30,—,—%,IV
368,Metal Burst,STEEL,Physical,10,—,100%,IV
369,U-turn,BUG,Physical,20,70,100%,IV
370,Close Combat,FIGHTING,Physical,5,120,100%,IV
371,Payback,DARK,Physical,10,50,100%,IV
372,Assurance,DARK,Physical,10,60,100%,IV
373,Embargo,DARK,Status,15,—,100%,IV
374,Fling,DARK,Physical,10,—,100%,IV
375,Psycho Shift,PSYCHIC,Status,10,—,100%,IV
376,Trump Card,NORMAL,Special,5,—,∞%,IV
377,Heal Block,PSYCHIC,Status,15,—,100%,IV
378,Wring Out,NORMAL,Special,5,—,100%,IV
379,Power Trick,PSYCHIC,Status,10,—,—%,IV
380,Gastro Acid,POISON,Status,10,—,100%,IV
381,Lucky Chant,NORMAL,Status,30,—,—%,IV
382,Me First,NORMAL,Status,20,—,∞%,IV
383,Copycat,NORMAL,Status,20,—,—%,IV
384,Power Swap,PSYCHIC,Status,10,—,∞%,IV
385,Guard Swap,PSYCHIC,Status,10,—,∞%,IV
386,Punishment,DARK,Physical,5,—,100%,IV
387,Last Resort,NORMAL,Physical,5,140,100%,IV
388,Worry Seed,GRASS,Status,10,—,100%,IV
389,Sucker Punch,DARK,Physical,5,70,100%,IV
390,Toxic Spikes,POISON,Status,20,—,—%,IV
391,Heart Swap,PSYCHIC,Status,10,—,∞%,IV
392,Aqua Ring,WATER,Status,20,—,—%,IV
393,Magnet Rise,ELECTRIC,Status,10,—,—%,IV
394,Flare Blitz,FIRE,Physical,15,120,100%,IV
395,Force Palm,FIGHTING,Physical,10,60,100%,IV
396,Aura Sphere,FIGHTING,Special,20,80,∞%,IV
397,Rock Polish,ROCK,Status,20,—,—%,IV
398,Poison Jab,POISON,Physical,20,80,100%,IV
399,Dark Pulse,DARK,Special,15,80,100%,IV
400,Night Slash,DARK,Physical,15,70,100%,IV
401,Aqua Tail,WATER,Physical,10,90,90%,IV
402,Seed Bomb,GRASS,Physical,15,80,100%,IV
403,Air Slash,FLYING,Special,15,75,95%,IV
404,X-Scissor,BUG,Physical,15,80,100%,IV
405,Bug Buzz,BUG,Special,10,90,100%,IV
406,Dragon Pulse,DRAGON,Special,10,85,100%,IV
407,Dragon Rush,DRAGON,Physical,10,100,75%,IV
408,Power Gem,ROCK,Special,20,80,100%,IV
409,Drain Punch,FIGHTING,Physical,10,75,100%,IV
410,Vacuum Wave,FIGHTING,Special,30,40,100%,IV
411,Focus Blast,FIGHTING,Special,5,120,70%,IV
412,Energy Ball,GRASS,Special,10,90,100%,IV
413,Brave Bird,FLYING,Physical,15,120,100%,IV
414,Earth Power,GROUND,Special,10,90,100%,IV
415,Switcheroo,DARK,Status,10,—,100%,IV
416,Giga Impact,NORMAL,Physical,5,150,90%,IV
417,Nasty Plot,DARK,Status,20,—,—%,IV
418,Bullet Punch,STEEL,Physical,30,40,100%,IV
419,Avalanche,ICE,Physical,10,60,100%,IV
420,Ice Shard,ICE,Physical,30,40,100%,IV
421,Shadow Claw,GHOST,Physical,15,70,100%,IV
422,Thunder Fang,ELECTRIC,Physical,15,65,95%,IV
423,Ice Fang,ICE,Physical,15,65,95%,IV
424,Fire Fang,FIRE,Physical,15,65,95%,IV
425,Shadow Sneak,GHOST,Physical,30,40,100%,IV
426,Mud Bomb,GROUND,Special,10,65,85%,IV
427,Psycho Cut,PSYCHIC,Physical,20,70,100%,IV
428,Zen Headbutt,PSYCHIC,Physical,15,80,90%,IV
429,Mirror Shot,STEEL,Special,10,65,85%,IV
430,Flash Cannon,STEEL,Special,10,80,100%,IV
431,Rock Climb,NORMAL,Physical,20,90,85%,IV
432,Defog,FLYING,Status,15,—,∞%,IV
433,Trick Room,PSYCHIC,Status,5,—,—%,IV
434,Draco Meteor,DRAGON,Special,5,130,90%,IV
435,Discharge,ELECTRIC,Special,15,80,100%,IV
436,Lava Plume,FIRE,Special,15,80,100%,IV
437,Leaf Storm,GRASS,Special,5,130,90%,IV
438,Power Whip,GRASS,Physical,10,120,85%,IV
439,Rock Wrecker,ROCK,Physical,5,150,90%,IV
440,Cross Poison,POISON,Physical,20,70,100%,IV
441,Gunk Shot,POISON,Physical,5,120,80%,IV
442,Iron Head,STEEL,Physical,15,80,100%,IV
443,Magnet Bomb,STEEL,Physical,20,60,∞%,IV
444,Stone Edge,ROCK,Physical,5,100,80%,IV
445,Captivate,NORMAL,Status,20,—,100%,IV
446,Stealth Rock,ROCK,Status,20,—,—%,IV
447,Grass Knot,GRASS,Special,20,—,100%,IV
448,Chatter,FLYING,Special,20,65,100%,IV
449,Judgment,NORMAL,Special,10,100,100%,IV
450,Bug Bite,BUG,Physical,20,60,100%,IV
451,Charge Beam,ELECTRIC,Special,10,50,90%,IV
452,Wood Hammer,GRASS,Physical,15,120,100%,IV
453,Aqua Jet,WATER,Physical,20,40,100%,IV
454,Attack Order,BUG,Physical,15,90,100%,IV
455,Defend Order,BUG,Status,10,—,—%,IV
456,Heal Order,BUG,Status,10,—,—%,IV
457,Head Smash,ROCK,Physical,5,150,80%,IV
458,Double Hit,NORMAL,Physical,10,35,90%,IV
459,Roar of Time,DRAGON,Special,5,150,90%,IV
460,Spacial Rend,DRAGON,Special,5,100,95%,IV
461,Lunar Dance,PSYCHIC,Status,10,—,—%,IV
462,Crush Grip,NORMAL,Physical,5,—,100%,IV
463,Magma Storm,FIRE,Special,5,100,75%,IV
464,Dark Void,DARK,Status,10,—,50%,IV
465,Seed Flare,GRASS,Special,5,120,85%,IV
466,Ominous Wind,GHOST,Special,5,60,100%,IV
467,Shadow Force,GHOST,Physical,5,120,100%,IV
468,Hone Claws,DARK,Status,15,—,—%,V
469,Wide Guard,ROCK,Status,10,—,—%,V
470,Guard Split,PSYCHIC,Status,10,—,∞%,V
471,Power Split,PSYCHIC,Status,10,—,∞%,V
472,Wonder Room,PSYCHIC,Status,10,—,—%,V
473,Psyshock,PSYCHIC,Special,10,80,100%,V
474,Venoshock,POISON,Special,10,65,100%,V
475,Autotomize,STEEL,Status,15,—,—%,V
476,Rage Powder,BUG,Status,20,—,—%,V
477,Telekinesis,PSYCHIC,Status,15,—,∞%,V
478,Magic Room,PSYCHIC,Status,10,—,—%,V
479,Smack Down,ROCK,Physical,15,50,100%,V
480,Storm Throw,FIGHTING,Physical,10,60,100%,V
481,Flame Burst,FIRE,Special,15,70,100%,V
482,Sludge Wave,POISON,Special,10,95,100%,V
483,Quiver Dance,BUG,Status,20,—,—%,V
484,Heavy Slam,STEEL,Physical,10,—,100%,V
485,Synchronoise,PSYCHIC,Special,10,120,100%,V
